,I,thou,he,we,you,they,this,that,here,there,who,what,where,when,how,not,all,many,some,few,other,one,two,three,four,five,big,long,wide,thick,heavy,small,short,narrow,thin,woman,man,human,child,wife,husband,mother,father,animal,fish,bird,dog,louse,snake,worm,tree,forest,stick,fruit,seed,leaf,root,bark,flower,grass,rope,skin,meat,blood,bone,fat,egg,horn,tail,feather,hair,head,ear,eye,nose,mouth,tooth,tongue,fingernail,foot,leg,knee,hand,wing,belly,guts,neck,back,breast,heart,liver,drink,eat,bite,suck,spit,vomit,blow,breathe,laugh,see,hear,know,think,smell,fear,sleep,live,die,kill,fight,hunt,hit,cut,split,stab,scratch,dig,swim,fly,walk,come,lie,sit,stand,turn,fall,give,hold,squeeze,rub,wash,wipe,pull,push,throw,tie,sew,count,say,sing,play,float,flow,freeze,swell,sun,moon,star,water,rain,river,lake,sea,salt,stone,sand,dust,earth,cloud,fog,sky,wind,snow,ice,smoke,fire,ash,burn,road,mountain,red,green,yellow,white,black,night,day,year,warm,cold,full,new,old,good,bad,rotten,dirty,straight,round,sharp,dull,smooth,wet,dry,correct,near,far,right,left,at,in,with,and,if,because,name
 sa, ɐ.ɦɐ́m, , , , , , , , ɐ́t̪.ɽɐ, , kɐ, , , kɐ.d̪ɑ́ː, , , s̪ɐ́ɽ.ʋɐ, bɐ.ɦú, , , , ɐ́j.kɐ, , t̪ɽí, t͡ɕɐ́.t̪uɽ, pɐ́ɲ.t͡ɕɐn̪, , , , , , , , , , s̪t̪ɽíː, mɐ.n̪uʂ.jɐ́, mɑː.n̪ɐ.ʋɐ́, ɕí.ɕu, pɐ́t̪.n̪iː, , ɐm.bɑ́ː, pi.t̪ŕ̩, pɐ́.ɕu, mɐ́t̪.s̪jɐ, ʋí, ɕʋɐ́n̪, , s̪ɐɽ.pɐ́, , , ʋɐ́.n̪ɐ, , pʰɐ́.l̪ɐ, bíː.d͡ʑɐ, , , ʋɐl̪.kɐ́, púʂ.pɐ, t̪ŕ̩.ɳɐ, , , mɑ̃ː.s̪ɐ́, ɐ́.s̪r̩d͡ʑ, ɐ́s̪.t̪ʰi, , , ɕr̩ŋ.ɡɐ́, , , kɐ́j.ɕɐ, , , , , ɑ́ːs̪, d̪ɐ́n̪.t̪ɐ, d͡ʑiɦ.ʋɑ́ː, n̪ɐ.kʰɐ́, pɐ́d̪, , d͡ʑɑ́ː.n̪u, ɦɐ́s̪.t̪ɐ, , , , ɡɽiː.ʋɑ́ː, , , ɦŕ̩.d̪ɐ.jɐ, jɐ́.kr̩t̪, pí.bɐ.t̪i, , , , , , , , , pɐ́ɕ.jɐ.t̪i, , , , , bʱɐ.jɐ́, s̪ʋɐ́.pi.t̪i, d͡ʑíː.ʋɐ.t̪i, mɐ́.ɽɐ.t̪i, ɦɐ́n̪.t̪i, , , , , , , , , , , , , , , , , pɐ́.t̪ɐ.t̪i, , , , , , , , , , , , , ʋɐ́.d̪ɐ.t̪i, , , , , , , s̪úːɽ.jɐ, t͡ɕɐn̪.d̪ɽɐ́, , ɐ́p, , n̪ɐ.d̪íː, , s̪ɐ.mud̪.ɽɐ́, l̪ɐ.ʋɐ.ɳɐ́, , , d̪ʱuː.l̪i, , mɐj.ɡʱɐ́, , , ʋɑ́ː.t̪ɐ, ɦi.mɐ́, , d̪ʱuː.mɐ́, ɐɡ.n̪í, , , , pɐ́ɽ.ʋɐ.t̪ɐ, ɽu.d̪ʱi.ɽɐ́, , , ɕʋɐj.t̪ɐ́, kŕ̩ʂ.ɳɐ, ɽɑ́ːt̪.ɽi, d̪i.n̪ɐ́, , , , , n̪ɐ.ʋɐ, , s̪ɑː.d̪ʱú, , , , , , , , , , ɕúʂ.kɐ, , , , , , , , , t͡ɕɐ, , , n̪ɑ́ː.mɐn̪
 sc, ˈɛo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ˈɔmine, , , muˈd͡ʒɛɾe, , ˈmama, ˈβabbu, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ˈlimba, , , , , , , , , , , , , , , , , , , , , , , , , isˈki.ɾe, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , isˈte.ɖu, , , , , , , , , , , , , ˈkelu, ˈbentu, , , , , , , , , , , , , , , , , , , ˈpɾenu, , , , , , , , , , , , , , , , , , , , , , , , , 
 sd, ɑːuːn, , , , , , , , , , , , , , , , , , , , , , , ʈi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , na.lo
 se, ˈmun, , , ˈmoɑ̯j, , , , , , ˈtoppe, , , , , , , , , , , , ˈokːta, ˈku̯okːte, ˈkolːpma, ˈɲe̯aʎːʎe, ˈvihːta, , , , , , , , , , ˈnisuː, , , ˈmaːnnaː, , ˈpoɑ̯dːɲiː, ˈea̯dːniː, ˈaːhːt͡ʃiː, , ˈkuo̯lliː, ˈlodːdiː, ˈpea̯na, , ˈkea̯rpmaʃ, , ˈmuo̯rra, , , , , ˈlasːta, ˈruo̯htas, , ˈraːssiː, ˈsitnuː, , ˈlijːkiː, ˈpie̯rːkuː, ˈvarra, ˈtaːkːtiː, , ˈmonniː, ˈt͡ʃoɑ̯rːviː, , , , ˈoɑ̯jːviː, ˈpea̯ʎːʎiː, ˈt͡ʃalːpmiː, , , , ˈɲuo̯vtt͡ʃa, , , , , , ˈsoɑ̯ɟɟiː, , , , , ˈt͡ʃidːd͡ʒiː, ˈvaːjːpmuː, , ˈjuhkah(t), , , , , , , , ˈt͡ʃajːpmah(t), ˈoɑ̯jːtniːh(t), , , ˈjurːttaʃih(t), , , ˈoɑ̯ððiːh(t), ˈea̯lliːh(t), ˈjaːpmiːh(t), ˈkodːdiːh(t), , , , , , , , , ˈvuo̯ɟɟah(t), , , , , , , , , , , , , , , , , , , , ˈlohkah(t), , ˈlaːvːluːh(t), , , , , , ˈpea̯jvvaːʃ, ˈmaːnnuː, ˈnaːsːtiː, ˈt͡ʃaːht͡siː, ˈarːviː, ˈjohka, ˈjaːvːriː, , ˈsaːlːtiː, ˈkea̯ðːkiː, ˈsaːttuː, ˈkavːja, , ˈpalːva, , , ˈpie̯ɡːɡa, ˈmuo̯hta, ˈjie̯tɲa, ˈsuo̯vva, ˈtolla, , , , ˈvaːrriː, , , , ˈvie̯lːkah(t), ˈt͡ʃaːhːpes, ˈiɟɟa, ˈpea̯jːviː, ˈjahkiː, , , , ˈoðas, , , , , , , , , , , , , , , , , , , , , ˈja, ˈjos, , ˈnamma
 sg, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 si, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , leː, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 sk, ˈja, ˈti, ɔn, ˈmi, ˈti, ˈɔɲi, , tɛn, , ˈtam, kto̞, ˈt͡ʃɔ, ˈɡɟɛ, , ˈjak, , ˈfʃɛtɔk, , ˈɲi̯ɛkɔʎkɔ, ˈmaːlo, ˈdruɦiː, ˈjɛdɛn, ˈdva.ja, ˈtri, ˈʃtiri, ˈpɛc, , ˈdl̩ɦiː, , ˈtɫ̩stiː, ˈcaʃ.kiː, ˈmaliː, ˈkraːtki, ˈuːski, ˈcɛŋkɔ, ˈʒe.na, ˈt͡ʃɫɔvɛk, , ˈɟi̯e.ca, , , ˈmatka, ˈɔcɛt͡s, ˈʒivɔt͡ʃiːx, ˈriba, ˈftaːk, ˈpɛs, ˈvɔʃ, ˈɦat, ˈt͡ʃɛrw, strɔm, ˈlɛs, , ˈɔvɔt͡si̯ɛ, ˈsɛmɛnɔ, ˈlist, ˈkɔrɛɲ, ˈku̯o.ra, ˈkvɛt, ˈtraːva, ˈɫanɔ, ˈkɔʒa, ˈmæso, ˈkr̩w, ˈkɔsc, tuk, ˈvajt͡sɛ, ˈrɔx, ˈxvɔst, , , ɦɫava, ˈu.xɔ, ˈɔkɔ, , ˈuːsta, ˈzup, ˈja.zik, ˈɲɛxt, ˈnɔɦa, ˈnɔɦa, ˈkɔlɛnɔ, ˈruka, ˈkriːdɫɔ, ˈbruxɔ, , kr̩k, ˈxr̩baːt, ˈpr̩sɲiːk, sr̩tsɛ, ˈpɛtʃɛɲ, ˈpic, , , , ˈpʎuc, , , ˈdiːxac, ˈsmi̯ac sa, ˈviɟi̯ɛc, , ˈvɛɟi̯ɛc, ˈmisli̯ɛc, , strax, ˈspac, ˈʒic, ˈumri̯ɛc, ˈzabic, ˈbɔjɔvac, , ˈudri̯ɛc, ˈrɛzac, , , , ˈkɔpac, ˈpɫaːvac, ˈmuxa, ˈiːsc, , ˈkɫamstvɔ, , ˈstaːc, , , , ˈdr̩ʒac, , , , , ˈci̯aɦnuc, ˈtɫat͡ʃic, , , , , ˈɦɔvɔric, , ˈɦrac, , ˈci̯ɛt͡sc, , , ˈsɫ̩ŋkɔ, ˈmɛsi̯at͡s, ˈɦvi̯ɛzda, ˈvɔda, daːʃc, ˈri̯ɛka, ˈjazɛrɔ, ˈmɔrɛ, ˈsɔʎ, ˈkamɛɲ, ˈpi̯ɛsɔk, , ˈzɛm, , ˈɦmɫa, ˈɲɛbɔ, ˈvi̯ɛtɔr, ˈsɲɛx, ˈʎat, ˈdim, ˈɔɦɛɲ, ˈpɔpɔɫ, , ˈt͡sɛsta, ˈɦɔra, ˈt͡ʃɛrvɛniː, ˈze̞.ɫe̞.niː, ˈʒɫ̩tiː, ˈbi̯ɛli, ˈt͡ʃi̯er.ni, ˈnɔt͡s, , ˈrɔk, ˈcɛpliː, , pl̩niː, ˈnɔviː, ˈstariː, ˈdɔbriː, ˈzɫiː, ˈɦɲiliː, , , , , ˈtupiː, , ˈmokriː, ˈsuxiː, , , , , , , , s, , ak, ˈprɛtɔʒɛ, ˈmɛnɔ
 sl, , ˈtíː, ˈɔ́n, ˈmíː, ˈtíː, ˈɔ̀ːni, ˈtáː, , ˈtúːkaj, ˈtám, ˈɡdòː, ˈkàːj, ˈkjèː, ˈɡdàːj, kaˈkòː, ˈnɛ́, ˈʋə́s, ʋɛˈlìːkɔ, , mâlo, ˈdrùːɡi, , ˈdʋáː, ˈtríːjɛ, ˈʃtìːrjɛ, péːt, , ˈdɔ́ːwk, , ˈdɛ̀ːbɛw, ˈtɛ̀ːʒək, ˈmáːjxən, ˈkràːtək, ˈòːzək, , ˈʒèːnska, ˈtʃlɔ̀ːʋɛk, tʃlɔˈʋèːʃki, ɔˈtrɔ́k, ˈʒɛ̀ːna, ˈmóːʃ, ˈmàːti, ˈɔ̀ːtʃɛ, ʒiˈʋáːw, ˈrìːba, ˈptítʃ, ˈpə́s, ˈúːʃ, ˈkàːtʃa, ˈtʃə́rw, drɛˈʋóː, ˈɡɔ́st, , ˈsáːdɛʃ, ˈsèːmɛ, ˈlíːst, kɔrɛˈnìːna, ˈlùːbjɛ, ˈtsʋéːt, ˈtràːʋa, , ˈkòːʒa, mɛˈsóː, ˈkríː, ˈkóːst, , ˈjàːjtsɛ, ˈróːk, ˈrɛ́p, pɛˈróː, ˈláːs, ˈɡlàːʋa, uˈxóː, ɔˈkóː, ˈnóːs, ˈùːsta, ˈzóːp, ˈjɛ̀ːzik, ˈnóːxt, stɔˈpàːlɔ, nɔ̀ːɡa, kɔˈlèːnɔ, rɔ̀ːka, ˈkrìːlɔ, ˈtrèːbux, , ˈʋráːt, ˈxərbət, , sərˈtséː, ˈjèːtra, ˈpiːti, , , , , , , , , ˈʋiːdɛti, , , ˈmiːsliti, , ˈstráːx, ˈspaːti, ʒiˈʋeːti, , uˈbìːti, , lɔˈʋiːti, , rézati, , , , kɔˈpàːti, ˈplaːʋati, ˈmùːxa, , ˈprìːti, ˈláːʃ, ˈsɛdèːti, , , ˈpaːsti, ˈdati, , , , , , , , , , , , ˈrɛtʃi, ˈpɛ̀ːti, iˈɡraːti, , ˈtɛtʃi, , , ˈsóːntsɛ, ˈlùːna, ˈzʋèːzda, , ˈdə́ʃ, ˈrèːka, ˈjéːzɛrɔ, ˈmóːrjɛ, ˈsóːw, ˈkàːmən, ˈpèːsək, ˈpráːx, ˈzɛ̀ːmlja, ɔˈbláːk, məˈɡlá, nɛˈbóː, , , ˈléːt, ˈdím, ɔ̀ːɡənʲ, pɛˈpéːw, , ˈtsèːsta, ɡɔ̀ːra, ərˈdɛ́tʃ, zɛˈlɛ́n, ruˈmɛ́n, ˈbéːw, ˈtʃə̀rn, noːtʃ, , ˈlèːtɔ, ˈtɔ̀ːpəw, , ˈpɔ́ːwn, ˈnɔ́w, ˈstár, ˈdòːbər, ˈsláp, ˈɡníːw, uˈmáːzan, , otˈkròːɡəw, ˈòːstər, ˈtɔ́p, , ˈmòːkər, ˈsúːx, praˈʋíːlən, , ˈdàːlɛtʃ, praˈʋìːtsa, , pri, ʋ, s, in, tʃɛ, kɛr, iˈméː
 sm, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 sn, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 so, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 sq, ˈun, , , nɛ, ti, aˈta, ky, , , , kuʃ, tʃfaɹ(ə), , , si, nʊk, ɡjiθ(ə), , , , , ɲə, dy, tɾɛ, ˈkatəɾ, pɛs(ə), , , ˈɟ͡ʝɛ.ɾə, , , ˈvɔɡəl, , , , ˈɡɾua, ɲɛˈɽi, , , ˈɡɾua, bur, , baba, , pɛʃk, zɔɡ, cɕɛn, mɔr, ˈɟ͡ʝaɾpəɹ, kɾimb, , pyɫ, , , ˈfaːɾ, , rəːɲ, , ˈlulɛ, baɾ, liˈtaɾ, ləkuɹə, miʃ, ɟ͡ʝak, , , , , , , ˈcimɛ, kɔkə, , sɒj, , ˈɡɔjə, , ˈɟʑuhə, , kəm.bə, kəm.bə, , dɔɹ, kɾa, , , ˈcafə, ʃpiːn, , ˈzɛməɾ, , pi, , kafˈʃɔj, θiθ, , , , , cɛʃ, , , di, mɛnˈdɔj, ɛːɹ, ˈfɾik(ə), , jɛˈtɔj, vdɛs, , , , , , , , , , nɔˈtɔj, , ˈɛtsi, , , ulɛm, ri, , ˈbiɛ, , mbaj, , fəɾˈkɔj, , , , , , , , , θɛm, kənˈdɔj, , , , , , , hənə, yɫ, ˈujə, ʃiː, , liˈcɛn, dɛt, ˈkɹi.pə, ɡuɾ, , , ðɛ, , ˈmjɛɡuɫ, , ɛːɹ, , , , zjaɾm, , , ˈruɡə, mal, kuc, ˈɟɛlbəɾ, , baːɾð, zi, ˈnaːt, , , , , , ɾi, , majɾ, , , , , , , , , , , , , , , , ˈnə, ˈnə, mɛ, ðɛ, , , ɛməɾ
 sr, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ss, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 st, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , peo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 su, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 sv, ˈjɑː(ɡ), dʉː, hanː, viː, dʉː, dɔm, , dɛnː, hæːr, dɛːr, , vɑː(d), dɛːr, , hʉːr, ˈɪnˌtɛ, ˈalˌa, , ˈnoːˌ(ɡ)ra, foː, , ɛt, tvoː, treː, ˈfyːˌra, fɛm, ˈvɵkˌsɛn, lɔŋ, viːd, ɕɔk, tɵŋ, ˈliːˌtɛn, kɔrt, , , ˈkvɪnːˌa, mɛnːɪɧa, ²mɛnsklɪ(ɡ), bɑːrn, hɵ̄sːtrʉ̂ː, ˈmɑːˌkɛ, muːr, , jʉːr, fɪsk, foːɡəl, hɵnd, , ˈʊrm, , , skuːɡ, ɕɛp, ˈfrɵkt, , , , , blʊ.ma, , , hʉːd, ɕœtː, , ˈbeːn, fɛt, ɛɡː, , svans, , hoːr, ˈhʉːˌvɵd, øːra, ˈøːˌɡa, ˈnɛːsˌa, mɵn, ˈtand, ˈtɵŋˌa, , fuːt, ˈbeːn, , hand, ˈvɪŋˌɛ, ²mɑːɡɛ, , , rʏɡ, , ˈjɛrˌta, , drɪkːa, ˈɛːˌta, , , , , , , , seː, , veːta, , , , soːva, leːva, , ˈdøːda, , ˈjɑːˌɡa, , ˈɧæːˌra, deːla, , , , , , ɡoː, ˈkɔmːa, lœŋn, , , , falːa, jeː, , , , , , , ²ɧʉːta, , , , , ˈsɛjːa, , , flyːta, , , , suːl, ˈmoːˌnɛ, ²ɧæːɳa, ˈvatːɛn, rɛŋn, fluːd, ɧøː, ɧøː, salt, , , dam, juːɖ, , , , vɪnd, snøː, , , ˈɛld, , , vɛːɡ, bɛrj, røːd, ɡrøːn, ɡʉːl, , svart, natː, , , varm, kal, fɵl, ny, , ɡuːd, ˈdoː.lɪ(ɡ), , , , , , , , voːt, , , , , , , poː, iː, meː(d), ɔ, ɔm, , namn
 sw, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ˈɲɔ.kɑ, , , , , , , , , , , , , ˈŋɡɔ.zi, , , , mɑˈfut.ɑ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , nɑ, , , 
 ta, n̪aːn, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , miːn, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , iː, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , mʌlʌj, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 te, , , , , , , iː, aː, , , , , , , , , , , , , , okaʈi, , muːɖu, n̪aːl̪uɡu, aid̪u, , , , , , , , , , , , , paːpa, , , , , , t͡ʃeːpa, pakʂi, kukːa, , paːmu, , t͡ʃeʈːu, , , paɳɖu, , aːku, ʋeːru, , puʋːu, ɡaɖːi, , tʃarmamu, , , , koʋːu, ɡuɖːu, , , iːka, , tala, tʃeʋi, kan̪ːu, , noːru, pan̪ːu, , ɡoːru, , kaːlu, , , rekːa, poʈːa, , , , t͡ʃan̪ːu, , , , , , , , , , , naʋːu, , , , , , , , , , , , , , , , , , , iːd̪u, iːɡa, , , , , , , , , , , , , , , , , , , , , , , teːlu, , , , , , , , , n̪ad̪i, sarasːu, , , , , , , , , , , , , , , buːɖida, kaːlu, , , , , , , , raːtri, roːdʒu, , , , , kotːa, , maɲt͡ʃi, t͡ʃeɖːa, , , , , , , , , , , , , , , , loː, , , , , 
 tg, mæn, , ɵ, mɔː, t̪u, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , kɵdæk, , , mɔːdær, , , mɔːhiː, paɾːanˈda, sæɡ, , mɔːr, kirm, , beʃæ, tʃɵb, mevæ, tuxm, , reʃæ, pɵːst, ɡul, sæbzæ, ærʁæmtʃin, pɵːst, ɡɵːʃt, xun, ustuxɔːn, , tuxm, ʃɔːx, dum, pær, , sær, ɡɵʃ, tʃaʃm, biˈniː, dæˈhɔːn, dændɔːn, zæˈbɔːn, nɔːxun, pɔːj, , zɔːnu, , bɔːl, ʃikæm, , ɡærdæn, puʃt, , dil, dʒiɡær, nɵʃidæn, , ɡæzidæn, mækidæn, , , , , xændidæn, diˈdan, ʃunidan, dɔːnistæn, , , , xɔːbiˈdæn, , murdæn, kuʃtæn, , , , , , , , , , , ɡæʃtæn, ɔːmædæn, , , , , , dɔːdæn, , , , ʃustæn, , , , ændɔːxtæn, , , ʃumurdæn, ɡuftæn, , , , , , , ɔftɔb, , , ɔːb, bɔːˈrɔːn, rɵd, kɵl, bæhr, næmæk, sæŋ, reɡ, , , , , , bɔːd, , , , , , , , , , , , , , , rɵːz, , , , pur, , , , , , , , , , , , , , , , , , , , dær, bɔː, , , , nɔːm
 th, pʰom˩˩˦, kʰun˧, kʰaw˩˩˦, raw˧, kʰun˧, kʰaw˩˩˦, niː˦˥, nan˥˩, tʰiː˥˩.niː˥˩, tʰiː˥˩.nan˥˩, kʰraj˧, ʔa˨˩.raj˧, tʰiː˥˩.naj˩˩˦, mɯa̯˥˩, jaŋ˧.ŋaj˧, maj˥˩, , , baːŋ˧, nɔːj˦˥, ʔɯːn˨˩, nɯŋ˨˩, sɔːŋ˩˩˦, saːm˩˩˦, siː˨˩, haː˥˩, , jaːw˧, kwaːŋ˥˩.jaj˨˩, naː˩˩˦, nak̚˨˩, lek̚˦˥, san˥˩, kʰɛːp̚˥˩, baːŋ˧, pʰuː˥˩.jiŋ˩˩˦, ma˦˥.nut̚˦˥, , luːk̚˥˩, pʰa˦˥.ri˦˥.jaː˧, saː˩˩˦.miː˧, mɛː˥˩, pʰɔː˥˩, sat̚˨˩, plaː˧, nok̚˦˥, maː˩˩˦, haw˩˩˦, ŋuː˧, nɔːn˩˩˦, ton˥˩.maːj˦˥, paː˨˩, dun˥˩, luːk̚˥˩, ma˦˥.let̚˦˥.pʰan˧, baj˧, raːk̚˥˩, plɯa̯k̚˨˩, dɔːk̚˨˩, jaː˥˩, t͡ɕʰɯa̯k̚˥˩, pʰiw˩˩˦.naŋ˩˩˦, nɯa̯˦˥, lɯa̯t̚˥˩, kra˨˩.duːk̚˨˩, kʰaj˩˩˦.man˧, kʰaj˨˩, kʰaw˩˩˦, haːŋ˩˩˦, kʰon˩˩˦.nok̚˦˥, pʰom˩˩˦, hua̯˩˩˦, huː˩˩˦, taː˧, t͡ɕa˨˩.muːk̚˨˩, paːk̚˨˩, fan˧, lin˦˥, lep̚˦˥.mɯː˧, tʰaːw˦˥, kʰaː˩˩˦, kʰaw˨˩, mɯː˧, piːk̚˨˩, tʰɔːŋ˦˥, , kʰɔː˧, laŋ˩˩˦, taː˥˩.nom˧, hua̯˩˩˦.t͡ɕaj˧, tap̚˨˩, dɯːm˨˩, kin˧.kʰaːw˥˩, kat̚˨˩, duːt̚˨˩, , ʔaː˧.t͡ɕia̯n˧, pʰat̚˦˥, haːj˩˩˦.t͡ɕaj˧, kʰam˩˩˦, hen˩˩˦, daːj˥˩.jin˧, ruː˦˥, kʰit̚˦˥, klin˨˩, klua̯˧, nɔːn˧, miː˧.t͡ɕʰiː˧.wit̚˦˥, taːj˧, kʰaː˥˩, suː˥˩, , tiː˧, tat̚˨˩, , tʰɛːŋ˧, kaw˧, kʰut̚˨˩, waːj˥˩.naːm˦˥, ma˦˥.lɛːŋ˧.wan˧, dɤːn˧, maː˧, , naŋ˥˩, jɯːn˧, mun˩˩˦, tok̚˨˩, haj˥˩, tʰɯː˩˩˦, biːp̚˨˩, kʰat̚˨˩, laːŋ˦˥, t͡ɕʰet̚˦˥, dɯŋ˧, dan˧, joːn˧, joːŋ˧, jep̚˦˥, nap̚˦˥, klaːw˨˩, kʰap̚˨˩.rɔːŋ˦˥, len˥˩, , laj˩˩˦, kʰɛŋ˩˩˦, bua̯m˧, dua̯ŋ˧.ʔaː˧.tʰit̚˦˥, t͡ɕan˧, daːw˧, naːm˦˥, fon˩˩˦, mɛː˥˩.naːm˦˥, saːp̚˨˩, tʰa˦˥.leː˧, klɯa̯˧, hin˩˩˦, saːj˧, fun˨˩, din˧, meːk̚˥˩, mɔːk̚˨˩, faː˦˥, lom˧, hi˨˩.maʔ˦˥, nam˦˥.kʰɛŋ˩˩˦, kʰwan˧, faj˧, tʰaw˥˩, maj˥˩, tʰa˨˩.non˩˩˦, pʰuː˧, dɛːŋ˧, kʰia̯w˩˩˦, lɯa̯ŋ˩˩˦, kʰaːw˩˩˦, dam˧, klaːŋ˧.kʰɯːn˧, wan˧, piː˧, ʔun˨˩, jen˧, , maj˨˩, kaw˨˩, diː˧, leːw˧, naw˥˩, sok̚˨˩.ka˨˩.prok̚˨˩, troŋ˧, , kʰom˧, , ria̯p̚˥˩, pia̯k̚˨˩, hɛːŋ˥˩, tʰuːk̚˨˩, klaj˥˩, klaj˧, sit̚˨˩.tʰiʔ˦˥, saːj˦˥, tʰiː˥˩, naj˧, kap̚˨˩, lɛʔ˦˥, tʰaː˥˩, pʰrɔʔ˦˥, t͡ɕʰɯː˥˩
